"Thebod Shippingrates","Thebod Shippingrates"
"Enabled","Aktiv"
"Enable Shippingrates?","Shippingrates aktivieren?"
"Method name","Name der Versandart"
"Displayed above shipping rates","Anzeige oberhalb der Versandkosten"
"Shipping methods","Versandarten"
"<b>code</b>: internal code, must be unique<br/><b>price</b>: price for this shipping method<br/><b>description</b>: description shown at checkout, html code supported, or use => and <= to bold text<br/><b>notification mail</b>: optional, if set a mail is send to this address after an order is placed using this shipping rate (useful for pickup-at-store configurations)","<b>Code</b>: Interner Code, muss einmalig sein<br/><b>Preis</b>: Preis der Versandart<br/><b>Beschreibung</b>: Beschreibung wird beim Checkout angezeigt, HTML Code wird unterstützt, benutze => und <= für Fett-Text<br/><b>Benachrichtigungs E-Mail</b>: Optional, falls spezifiziert wird eine Email nach Abschluss eine Bestellung mit der Versandart dorthin geschickt (nützlich für Laden-Abholung)"
"Sort order","Sortierreihenfolge"
"Add","Hinzufügen"
"Delete","Delete"
"code","Code"
"price","Preis"
"description","Beschreibung"
"notification mail (optional)","Benachrichtigungs E-Mail (Optional)"
"configure filter","Konfiguriere Filter"
"min. QTY:","min. Menge"
"max. QTY:","max. Menge"
"min. subtotal","min. Bestellwert"
"max. subtotal","max. Bestellwert"
"min. weight","min. Gewicht"
"max. weight","max. Gewicht"
"save filter","Filter speichern"
"Subtotal including tax","Zwischensumme inkl. Steuer"
"Use subtotal with or without tax to compare with min./max. subtotal filters","Zwischensumme exkl./inkl. Steuer um es mit den Filtern (subtotal min./max.) zu vergleichen"
