"Thebod Shippingrates","Thebod Shippingrates"
"Enabled","Activo"
"Enable Shippingrates?","Activar Portes de Envio?"
"Method name","Método"
"Displayed above shipping rates","Apresentar por cima dos portes de envio"
"Shipping methods","Métodos de envio"
"<b>code</b>: internal code, must be unique<br/><b>price</b>: price for this shipping method<br/><b>description</b>: description shown at checkout, html code supported, or use => and <= to bold text<br/><b>notification mail</b>: optional, if set a mail is send to this address after an order is placed using this shipping rate (useful for pickup-at-store configurations)","<b>código</b>: código interno, tem que ser único<br/><b>preço</b>: preço para este método de envio<br/><b>descrição</b>: descrição apresentada no checkout, suporta código html, ou o uso de => e <= para que o texto fique a negrito<br/><b>email para notificação</b>: opcional, se atribuído será enviado um email sempre que for efectuada uma encomenda com este método de envio (útil para configurações levantar na loja)"
"Sort order","Ordenação"
"Add","Adicionar"
"Delete","Apagar"
"code","código"
"price","preço"
"description","descrição"
"notification mail (optional)","notificação de email (opcional)"
"configure filter","Configurar Filtro"
"min. QTY:","Qtd. mín.:"
"max. QTY:","Qtd. máx:"
"min. subtotal","Subtotal mín."
"max. subtotal","Subtotal máx."
"min. weight","Peso mín."
"max. weight","Peso máx."
"save filter","Guardar filtro"
