"Thebod Shippingrates","Thebod Shippingrates"
"Enabled","Aktiv"
"Enable Shippingrates?","Shippingrates aktivieren?"
"Method name","Name der Versandart"
"Displayed above shipping rates","Anzeige oberhalb der Versandkosten"
"Shipping methods","Versansarten"
"<b>code</b>: internal code, must be unique<br/><b>price</b>: price for this shipping method<br/><b>description</b>: description shown at checkout, html code supported, or use => and <= to bold text<br/><b>notification mail</b>: optional, if set a mail is send to this address after an order is placed using this shipping rate (useful for pickup-at-store configurations)","<b>code</b>: Interner Code, muss einmalig sein<br/><b>preis</b>: Preis der Versandart<br/><b>beschreibung</b>: Beschreibung wird beim Checkout angezeigt, HTML Code wird unterstützt, benutze => und <= für Fett-Text<br/><b>benachrichtigungs email</b>: Optional, falls spezifiziert wird eine Email nach Abschluss eine Bestellung mit der Versandart dorthin geschickt (nützlich für Laden-Abholung)"
"Sort order","Sortierreihenfolge"
"Add","Hinzufügen"
"Delete","Delete"
"code","code"
"price","preis"
"description","beschreibung"
"notification mail (optional)","benachrichtigungs email (optional)"

